Reviewer,Citation abbrv,Scientific Name,Common Name,Method Binary,Method,Country,Site,Latitude,Longitude,Pp. - details,Type 0 (pp),Type 0 (tp),Type I,Type II,Type III,Type IV,Cause 1,Cause 2,Cause 3,Cause 4
AS,Grovenburg et al. 2011,Odocoileus virginianus,white-tailed deer,Yes,Observation (Collar),USA,"extending approximately 700 km west-to-east from north-central South Dakota (45°56′N, 99°43′W) to southeastern Minnesota (43°30′N, 91°43′W) (I would put the location on the SD-MN border)",44.66899143,-96.44026986,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Climate/Weather: Interannual env variations,,,
AVS,Berger 1991,Antilocapra americana,pronghorn,No,Opinion/Anecdotal,USA,northern Yellowstone National Park and Montana,44.96061987,-110.3515238,numeric,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,non-human predator,,,
AVS,Berger 1991,Bison bison,bison,No,Opinion/Anecdotal,USA,northern Yellowstone National Park and Montana,44.96061987,-110.3515238,numeric,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,human Predator: fatal,Mngt: landscape management,,
AVS,White and Garrott 2005,Cervus elaphus,elk,No,Review,USA,northern Yellowstone National Park and Montana,44.96061987,-110.3515238,demographic,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,non-human predator,human Predator: fatal,,
AVS,White and Garrott 2005 (b),Cervus elaphus,elk,Yes,Observation (Survey),USA,northern Yellowstone National Park and Montana,44.96061987,-110.3515238,numeric,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Climate/Weather: Interannual env variations,human Predator: fatal,,
CA,Meagher 1989,Bison bison,bison,Yes,Observation (Survey),USA,northern Yellowstone National Park and Montana,44.96061987,-110.3515238,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,Climate/Weather: extreme whether event,,,
LT,White et al. 2007,Antilocapra americana,pronghorn,Yes,Observation (Collar),USA,northern Yellowstone National Park and Montana,44.96061987,-110.3515238,demographic,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Climate/Weather: Interannual env variations,,,
LT,Craighead et al. 1972,Cervus canadensis,elk,Yes,Observation (Collar),USA,northern Yellowstone National Park and Montana,44.96061987,-110.3515238,res-mig ratio,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,human Predator: fatal,Hab fragmentation,Hab Loss: Ag expansion,
LT,White et al. 2010,Cervus elaphus,elk,Yes,Observation (Collar),USA,northern Yellowstone National Park and Montana,44.96061987,-110.3515238,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Climate/Weather: Interannual env variations,,,
AVS,Haggerty and Travis 2006,Cervus elaphus,elk,No,Opinion/Anecdotal,USA,"southwestern Montana's Upper Yellowstone Valley, directly north of YNP",45.23398353,-110.8696212,res-mig ratio,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,human Predator: fatal,Mngt: supplementary feeding,,
SM,Lewis and Rongstad 1998,Odocoileus virginianus,white-tailed deer,Yes,Observation (Collar),USA,northern Wisconsin (couldn't find the full paper to get any specific area),46.27505884,-90.20431779,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Mngt: supplementary feeding,,,
AVS,Fieberg et al. 2008,Odocoileus virginianus,white-tailed deer,Yes,Observation (Collar),USA,along the southeastern boundary of Chippewa National Forest in north-central Minnesota,47.01991341,-93.89006845,res-mig ratio,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Climate/Weather: Interannual env variations,,,
AVS,Nelson 1998,Odocoileus virginianus,white-tailed deer,Yes,Observation (Collar),USA,Superior National Forest in northeastern Minnesota,47.91827747,-90.54700315,res-mig ratio,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Climate/Weather: Interannual env variations,Pop: social learning,,
